isbn,title,rating_count,reviews,rating_value
Persian,سینوهه,15496,751,4.10
9640005514,خرمگس,7394,447,4.16
964405069X,کوری,160112,13134,4.10
9786008382331,سیمای شکسته پدر سالار,694,6,3.55
9644481992,به سوی فانوس دریایی,109760,5906,3.77
Persian,رباعيات خيام,15680,1305,4.18
9644481410,طاعون,127571,4267,3.98
,وداع با اسلحه,232441,8249,3.80
9644452593,یادداشت‌های زیرزمینی,55809,3547,4.17
0096434140,خرده جنایت های زناشوهری,4697,381,3.91
6002290007,حفره‌ها,434,34,3.49
Persian,مهمانهای ناخوانده,422,21,4.23
9789643634537,راز فال ورق,19062,1173,4.17
Persian,عدالت در پرانتز,2315,102,4.24
9789647033749,کوه پنجم,34454,1385,3.62
Persian,من یوسفم پدر,33,5,3.91
9643627551,از دو که حرف می‌زنم از چه حرف می‌زنم,80542,7932,3.82
9646596150,دو منظومه,908,46,3.96
9645507618,غزل غزل های سلیمان,17,4,3.59
9643058964,طرف خانه سوان,37554,2842,4.14
Persian,کتاب فقیر,24,2,3.13
Persian,سیریا سیریا,60,6,3.28
Persian,افسانه‌ی آفرینش,1117,52,3.70
9789644481734,بالا بلندتر از هر بلند بالایی,145,7,3.46
9643054209,شرق بنفشه,656,63,3.59
9789643055660,دوباره از همان خیابان‌ها,429,50,3.69
9786005026863,خلوتکده,22580,886,4.14
9648161755,مکتب در فرايند تکامل,229,37,4.11
Persian,مردی که همه چیز، همه چیز، همه چیز داشت,182,25,3.36
964704918x,لال‌بازی‌ها,76,4,3.61
6005253565,جایگاه‌سازی: نبردی در ذهن,13726,325,4.03
9786007289044,کار,146,26,3.61
Persian,پرندگان می‌روند در پرو می‌میرند,841,98,3.79
9468223084,از روزگارِ رفته حکایت,246,16,3.63
Persian,نقطه سر خط,68,11,3.54
0096490932,"چمران به روایت همسر شهید (نیمه‌ی پنهان ماه, #1)",367,45,4.13
9643127982,هنر امر متعالی مبتذل: درباره بزرگراه گمشده ديويد لينچ,351,23,3.75
Persian,نفحات نفت,752,77,3.87
9789643129026,تجربه‌‌های اخير,113,16,3.12
Persian,پیکر زن هم چون میدان نبرد در جنگ بوسنی,620,68,3.83
9799648497181,تاکسی‌نوشت‌ها,134,16,3.22
964311421x,آونگ خاطره‌های ما,198,8,3.42
Persian,مخزن _ نمایشنامه,41,2,4.07
9643622150,صید قزل‌آلا در آمریکا,10437,693,3.81
9646003494,آینه‌های ناگهان,799,48,3.77
Persian,ناتنی,87,11,3.03
9643510131,شازده کوچولو,1070246,31147,4.30
9789643129309,سه روایت از زندگی,425,47,3.40
Persian,اخلاق دین‌شناسی: پژوهشی در مبانی معرفتی و اخلاقی فقه,18,0,4.17
964362871X,قلابی,347,32,3.16
Persian,دین در ترازوی اخلاق: پژوهشی در باب نسبت میان اخلاق دینی و اخلاق سکولار,33,5,3.88
964704951X,دشنه,54,2,3.56
9786009407231,‫بنیانی علمی برای جهانی عقلانی,1549,107,3.90
9644161068,دست‌نوشته‌های اقتصادی و فلسفی ۱۸۴۴,2445,101,4.10
Persian,اعتماد,702,133,3.56
9643114769,یکی از همین روزها ماریا,12,2,2.25
9643691659,پروست و من,37,6,3.30
9647675003,همسایه! چیزهایی امشب به یادم می‌آید,31,1,3.29
964857328X,نگین,21,4,3.52
Farsi,پیدایی اندیشه سیاسی عرفانی در ایران: از عزیز نسفی تا صدرالدین شیرازی,3,2,2.00
9646900801,قضيه ی تراخيس,7,1,3.57
0571190146,'Art',4279,223,3.83
Persian,خواجه تاجدار,828,37,3.48
Persian,جمجمه ای در كانه مارا,572,29,3.80
,اعترافنامه دختران بد,29,11,3.66
964690095X,زائر,23,3,4.00
9645512344,طومار شیخ شرزین، فیلم‌نامه,601,71,4.11
Persian,در رؤیای بابل,2431,224,3.83
9789643627676,فوتبال علیه دشمن,2827,129,3.97
Persian,دفترچه ی خاطرات و فراموشی و مقالات دیگر,159,17,3.99
9643054683,آشنایی با ویتگنشتاین,450,60,3.26
964857314X,می‌خواستم اسب باشم,34,3,3.71
Persian,نت‌هایی برای بلبل چوبی,82,11,3.43
9789648765304,این مردم نازنین,476,57,3.12
9646900305,گردش تابستانی,10,0,3.80
964619477x,صد سال داستان نویسی ایران - جلد اول و دوم,69,8,3.64
9643126595,خاطرات سیلویا پلات,14390,557,4.31
9643621251,با گارد باز,183,5,2.65
Persian,درباره مسئله يهود و گامي در نقد فلسفه حق هگل,36,1,3.39
9643626372,شب ممکن,311,37,2.86
9789648687002,هجدهم برومر لويي بناپارت,2709,99,4.10
964690064X,خروس,32,1,3.25
9643802108,تاریخ شفاهی ادبیات معاصر ایران: لیلی گلستان,136,20,3.63
Persian,مایده‌های زمینی,2281,163,3.64
9646900550,مادر ایکاروس,53,3,2.72
Persian,از ريشه تا هميشه,78,14,4.03
9644481445,معمای ماهیار معمار,191,12,3.27
9646900321,سر سلامتی,5,0,2.80
9645509645,نون والقلم,1136,71,3.43
Persian,کافه نادری,180,14,2.88
0553588486,A Game of Thrones,1711144,49997,4.45
9646900410,وقت ضیافت,57,9,3.02
9644481690,حرکت با شماست مرکوشیو,134,12,3.10
9646900631,ماداگاسکار,21,0,3.05
9645620457,منشاء خانواده، مالکیت خصوصی و دولت,2801,167,4.08
9644320247,بابا برفی,101,9,4.10
9643626237,نامه‌ای عاشقانه از تیمارستان ایالتی,1000,84,3.68
9643114279,حیاط خلوت,34,1,3.53
96467517,ایستگاه سلجوق,102,9,3.23
0375849726,Far Far Away,7751,1699,3.87
9648175974,معماری زبان,126,15,3.42
9789644483922,یازده نمایشنامه - نانوشتن,56,5,3.64
0582416396,"A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",70129,619,4.22
0517203383,The Exploits of Sherlock Holmes,29508,120,4.41
0582418275,The Firm,518763,3326,4.00
964305741,آواز عاشقانه,23,2,3.43
9644481062,آینه‌های دردار,567,60,3.59
140679239X,To the Lighthouse,109767,5906,3.77
9644171985,دشمن عزيز,5531,526,3.87
9644593421,چیستی علم,1217,94,3.76
9789643621469,ديوانه بازی,1431,157,3.74
Persian,قاضي و جلادش,7074,267,3.72
9645918251,خاطرات آیت الله خلخالی,101,13,2.65
964334116X,یاران حلقه,2067425,18177,4.35
9647529309,اینک شوکران ۱: منوچهر مدق به روایت همسر شهید,276,30,4.20
Persian,شوالیه ناموجود,10008,343,3.91
9643058727,دن کامیلو و پسر ناخلف,827,45,4.24
964731616X,قهوه و سیگار با جارموش,165,15,3.91
9644530527,قلعه حیوانات,2298570,44263,3.91
9645643775,بچه‌های قالیباف‌خانه,272,24,3.67
9789643622305,هوا را از من بگیر خنده‌ات را نه!‏,6802,354,4.25
9789645881168,روزی که هزار بار عاشق شدم,109,9,2.83
Persian,زنان از دید مردان,3,0,4.00
9789648155044,جراح دیوانه,399,23,3.39
9644870492,مادراپور,431,21,3.80
9643690202,لکه‌های ته فنجان قهوه,40,1,2.55
9647468490,عقاید یک دلقک,17542,1081,4.03
Persian,در حیاطِ کوچکِ پاییز، در زندان / زندگی می‌گوید: امّا باز باید زیست... / دوزخ، امّا سرد,267,12,4.07
9649971750,منطق,919,93,3.65
9642090414,فاشیسم,592,97,3.49
Persian,آن‌جا که پنچرگیری‌ها تمام می‌شوند,78,9,2.60
Persian,مدایح بی‌صله,866,38,4.17
9789647948791,مبانی نظریه‌ی ادبی,277,27,3.65
Persian,عشق آباد,35,2,3.69
Persian,تهران در بعد از ظهر,946,60,3.21
Persian,كلیات اشعار شاه نعمت الله ولی,50,2,3.74
9789649139814,خورشید را بیدار كنیم,3031,123,3.99
9643691551,مرده‌ای که حالش خوب است,17,3,3.41
9643125750,گفت‌وگو با مرگ,284,40,4.12
Persian,مردی بدون وطن,35042,2295,4.08
964718803x,ما,56835,3625,3.94
0964775443,دیوان فروغ فرخزاد,2137,107,4.12
Persian,عزاداران بیل,1445,143,3.95
9643624101,دو قدم این ور خط,261,26,3.15
9641911422,سنتائور,3901,223,3.70
Persian,جن نامه,392,28,3.84
0141183535,A Room of One's Own,90394,5205,4.13
Persian,نام ها و سایه ها,55,5,2.95
9643691578,سه‌گانه‌ی نیویورک,50272,2868,3.91
9643691616,گهواره‌ی گربه,305528,9357,4.17
